price,quantity,type,timestamp
4732000,1.0,0,2024-04-29 00:00:56.498000
4740000,12.0375,1,2024-04-29 00:00:56.498000
4741000,0.1032,1,2024-04-29 00:00:56.498000
4742000,8.9439,1,2024-04-29 00:00:56.498000
4743000,18.4298,1,2024-04-29 00:00:56.498000
4744000,11.538,1,2024-04-29 00:00:56.498000
4736000,2.0951,0,2024-04-29 00:01:01.764000
4735000,3.5706,0,2024-04-29 00:01:01.764000
4734000,0.4242,0,2024-04-29 00:01:01.764000
4733000,21.2242,0,2024-04-29 00:01:01.764000
4732000,1.0,0,2024-04-29 00:01:01.764000
4739000,2.5466,1,2024-04-29 00:01:01.764000
4740000,8.4775,1,2024-04-29 00:01:01.764000
4741000,0.1032,1,2024-04-29 00:01:01.764000
4742000,3.6139,1,2024-04-29 00:01:01.764000
4743000,18.4298,1,2024-04-29 00:01:01.764000
4736000,20.2452,0,2024-04-29 00:01:06.987000
4735000,3.5706,0,2024-04-29 00:01:06.987000
4734000,1.0887,0,2024-04-29 00:01:06.987000
4733000,1.4572,0,2024-04-29 00:01:06.987000
4732000,6.33,0,2024-04-29 00:01:06.987000
4739000,0.8922,1,2024-04-29 00:01:06.987000
4740000,8.4775,1,2024-04-29 00:01:06.987000
4741000,0.001,1,2024-04-29 00:01:06.987000
4742000,3.6139,1,2024-04-29 00:01:06.987000
4744000,7.5629,1,2024-04-29 00:01:06.987000
4738000,2.9492,0,2024-04-29 00:01:12.235000
4737000,4.7822,0,2024-04-29 00:01:12.235000
4736000,15.0,0,2024-04-29 00:01:12.235000
4735000,5.1132,0,2024-04-29 00:01:12.235000
4734000,1.0887,0,2024-04-29 00:01:12.235000
4740000,7.6573,1,2024-04-29 00:01:12.235000
4741000,0.001,1,2024-04-29 00:01:12.235000
4742000,3.6139,1,2024-04-29 00:01:12.235000
4743000,0.1022,1,2024-04-29 00:01:12.235000
4744000,22.5629,1,2024-04-29 00:01:12.235000
4738000,0.3172,0,2024-04-29 00:01:17.458000
